Date,SP500
01/2024,220251.22118496362
02/2024,232011.72001988292
03/2024,239476.62602691745
04/2024,229695.19139413285
05/2024,241084.66812502753
06/2024,249735.20892802087
07/2024,252775.11530209254
08/2024,258906.52298386506
09/2024,264435.9897732969
10/2024,262038.08377255444
11/2024,277419.8757946353
12/2024,270806.7056634878
01/2025,278347.9553934533
